request_id,arrival_time_ms,prompt_len,output_len,generated_tokens,prefill_start_time_ms,prefill_end_time_ms,kv_transfer_start_time_ms,kv_transfer_end_time_ms,first_token_time_ms,completion_time_ms,ttft_ms,tpot_ms,e2e_ms,status,prefill_replica,decode_replica
req_30,27166.538669772748,512,128,128,27166.538669772748,27322.36880310608,27322.36880310608,27332.70880310608,27362.078836439414,30529.64776977278,195.54016666666575,24.941487664042242,3363.1091000000306,completed,0,0
req_31,27174.70515800183,512,128,128,27322.36880310608,27478.198936439414,27478.198936439414,27488.538936439414,27533.977936439416,30677.89396977278,359.27277843758566,24.75524435695562,3503.1888117709495,completed,0,0
req_32,27649.113406494955,512,128,128,27649.113406494955,27804.943539828288,27804.943539828288,27815.283539828288,27859.32126977275,31001.558203106117,210.2078632777957,24.74202309711312,3352.444796611162,completed,0,0
req_33,28764.83623180439,512,128,128,28764.83623180439,28920.666365137724,28920.666365137724,28931.006365137724,28970.86496977276,32131.230903106112,206.02873796836866,24.884771128609074,3366.3946713017212,completed,0,0
req_34,29064.3553231902,512,128,128,29064.3553231902,29220.185456523534,29220.185456523534,29230.525456523534,29264.793069772768,32482.970803106113,200.43774658256734,25.339982152231062,3418.615479915912,completed,0,0
req_35,33543.599859184345,512,128,128,33543.599859184345,33699.42999251768,33699.42999251768,33709.76999251768,33739.14002585101,36922.52485918433,195.54016666666575,25.066022309711144,3378.924999999981,completed,0,0
req_36,33788.9715314941,512,128,128,33788.9715314941,33944.801664827435,33944.801664827435,33955.14166482743,33999.139025851015,37144.75105918433,210.167494356916,24.76859868766391,3355.7795276902325,completed,0,0
req_37,34406.44197071418,512,128,128,34406.44197071418,34562.272104047515,34562.272104047515,34572.61210404751,34600.261725851014,37742.56475918432,193.81975513683574,24.742543569553607,3336.122788470144,completed,0,0
req_38,35105.04078980184,512,128,128,35105.04078980184,35260.870923135175,35260.870923135175,35271.21092313517,35316.47459251767,38470.653525851,211.4338027158301,24.83605459317582,3365.612736049159,completed,0,0
req_39,35512.48067352754,512,128,128,35512.48067352754,35668.31080686088,35668.31080686088,35678.650806860875,35707.991425850996,38884.73945918435,195.51075232345465,25.013764041994893,3372.258785656806,completed,0,0
req_40,38368.90058764632,512,128,128,38368.90058764632,38524.730720979656,38524.730720979656,38535.07072097965,38583.68475918434,41794.079992517705,214.78417153802002,25.278702624672167,3425.1794048713855,completed,0,0
req_41,39014.94805388619,512,128,128,39014.94805388619,39170.77818721953,39170.77818721953,39181.11818721952,39232.76895918436,42390.505592517715,217.82090529816924,24.8640679790028,3375.557538631525,completed,0,0
req_42,40145.26892016044,512,128,128,40145.26892016044,40301.099053493774,40301.099053493774,40311.43905349377,40360.71625918436,43518.87469251771,215.4473390239218,24.86738923884529,3373.605772357274,completed,0,0
req_43,41078.60945951404,512,128,128,41078.60945951404,41234.439592847375,41234.439592847375,41244.77959284737,41277.7235925177,44447.15112585104,199.11413300366257,24.956122309711358,3368.541666337005,completed,0,0
req_44,43228.6260620119,512,128,128,43228.6260620119,43384.456195345236,43384.456195345236,43394.79619534523,43444.336592517706,46787.12412585102,215.71053050580667,26.321161679789874,3558.4980638391207,completed,0,0
req_45,45346.86832474833,512,128,128,45346.86832474833,45502.698458081664,45502.698458081664,45513.03845808166,45557.82269251771,48792.79752585101,210.95436776938004,25.472242782152005,3445.9292011026846,completed,0,0
req_46,47003.20539024354,512,128,128,47003.20539024354,47159.03552357687,47159.03552357687,47169.37552357687,47222.97852585102,50377.18705918435,219.77313560748007,24.836287664041976,3373.981668940811,completed,0,0
req_47,48108.76856123448,512,128,128,48108.76856123448,48264.598694567816,48264.598694567816,48274.93869456781,48301.22215918435,51446.72859251769,192.4535979498687,24.767767191601127,3337.9600312832117,completed,0,0
req_48,48139.67513055066,512,128,128,48264.598694567816,48420.42882790115,48420.42882790115,48430.76882790115,48474.36209251768,51621.571925851014,334.68696196701785,24.781179790026254,3481.896795300352,completed,0,0
req_49,49873.59801905603,512,128,128,49873.59801905603,50029.428152389366,50029.428152389366,50039.76815238936,50081.962759184345,53249.15439251767,208.36474012831604,24.938516797900167,3375.556373461637,completed,0,0
req_50,51376.93337419297,512,128,128,51376.93337419297,51532.76350752631,51532.76350752631,51543.103507526306,51571.93935918435,54739.87309251768,195.00598499137413,24.944360104986863,3362.9397183247056,completed,0,0
req_51,52807.073344276774,512,128,128,52807.073344276774,52962.90347761011,52962.90347761011,52973.24347761011,53000.99155918434,56139.63859251767,193.9182149075641,24.713756167979014,3332.5652482408987,completed,0,0
req_52,53531.59114596072,512,128,128,53531.59114596072,53687.42127929406,53687.42127929406,53697.761279294056,53725.32042585101,56858.00835918435,193.7292798902854,24.666834120734975,3326.417213223627,completed,0,0
req_53,54386.61399455693,512,128,128,54386.61399455693,54542.44412789027,54542.44412789027,54552.78412789026,54592.619792517675,57718.02072585102,206.00579796074453,24.609456167979097,3331.4067312940897,completed,0,0
req_54,54649.58120392396,512,128,128,54649.58120392396,54805.4113372573,54805.4113372573,54815.751337257294,54863.21955918435,57991.3268925177,213.63835526038747,24.630766404199647,3341.7456885937427,completed,0,0
req_55,56387.7233169115,512,128,128,56387.7233169115,56543.553450244835,56543.553450244835,56553.89345024483,56587.076292517675,59741.598625851046,199.3529756061762,24.83875853018402,3353.875308939547,completed,0,0
req_56,56660.17738900649,512,128,128,56660.17738900649,56816.00752233982,56816.00752233982,56826.34752233982,56858.00835918435,60017.6324925177,197.8309701778635,24.87893018372719,3357.4551035112163,completed,0,0
req_57,58895.42844019266,512,128,128,58895.42844019266,59051.258573526,59051.258573526,59061.598573526,59095.11325918437,62292.4758925177,199.6848189917073,25.176083727034097,3397.0474523250377,completed,0,0
req_58,60058.56954065829,512,128,128,60058.56954065829,60214.399673991626,60214.399673991626,60224.73967399162,60277.4910925177,63440.21412585103,218.92155185941374,24.903330971128568,3381.644585192742,completed,0,0
req_59,60652.92527471832,512,128,128,60652.92527471832,60808.75540805166,60808.75540805166,60819.09540805165,60853.80225918437,64017.375492517676,200.87698446604918,24.910025459317378,3364.4502177993563,completed,0,0
req_60,62596.81173936505,512,128,128,62596.81173936505,62752.64187269838,62752.64187269838,62762.98187269838,62794.08715918435,66304.85619251775,197.275419819307,27.64385065616847,3708.0444531527028,completed,0,0
req_61,66330.69227620291,512,128,128,66330.69227620291,66486.52240953625,66486.52240953625,66496.86240953625,66526.23244286959,69718.79547620293,195.54016666667303,25.138291601049914,3388.1032000000123,completed,0,0
req_62,66726.92056614028,512,128,128,66726.92056614028,66882.75069947362,66882.75069947362,66893.09069947361,66933.05470953624,70066.34444286958,206.13414339596056,24.671572703412114,3339.423876729299,completed,0,0
