request_id,source_replica_id,lane_id,mode,size_mb,queued_time_ms,start_time_ms,end_time_ms,duration_ms
req_88,0,0,pcie,128.0,0.0,89957.93431921906,89968.27431921905,10.34
req_89,0,0,pcie,128.0,0.0,92323.1911688366,92333.53116883659,10.34
req_90,0,0,pcie,128.0,0.0,92983.68503051208,92994.02503051207,10.34
req_91,0,0,pcie,128.0,0.0,93139.51516384541,93149.85516384541,10.34
req_92,0,0,pcie,128.0,0.0,93379.21490716675,93389.55490716675,10.34
req_93,0,0,pcie,128.0,0.0,94274.83903824839,94285.17903824839,10.34
req_94,0,0,pcie,128.0,0.0,94709.07928998035,94719.41928998035,10.34
req_95,0,0,pcie,128.0,0.0,96612.99371232418,96623.33371232418,10.34
req_96,0,0,pcie,128.0,0.0,96768.82384565752,96779.16384565752,10.34
req_97,0,0,pcie,128.0,0.0,97715.9275110279,97726.2675110279,10.34
req_98,0,0,pcie,128.0,0.0,98802.04645304568,98812.38645304568,10.34
req_99,0,0,pcie,128.0,0.0,100593.6915738345,100604.0315738345,10.34
req_100,0,0,pcie,128.0,0.0,101131.3504172506,101141.69041725059,10.34
req_101,0,0,pcie,128.0,0.0,102464.49237519318,102474.83237519317,10.34
req_102,0,0,pcie,128.0,0.0,102945.58199241258,102955.92199241258,10.34
req_103,0,0,pcie,128.0,0.0,103148.89615816841,103159.23615816841,10.34
req_104,0,0,pcie,128.0,0.0,103433.76409150174,103444.10409150174,10.34
req_105,0,0,pcie,128.0,10.339999999996508,103444.10409150174,103454.44409150173,10.34
req_106,0,0,pcie,128.0,0.0,103759.65364435938,103769.99364435938,10.34
req_107,0,0,pcie,128.0,0.0,103915.48377769272,103925.82377769271,10.34
req_108,0,0,pcie,128.0,0.0,104207.0272302964,104217.3672302964,10.34
req_109,0,0,pcie,128.0,0.0,105841.42567980132,105851.76567980132,10.34
req_110,0,0,pcie,128.0,0.0,106019.53366071248,106029.87366071247,10.34
req_111,0,0,pcie,128.0,0.0,106435.16242431497,106445.50242431497,10.34
req_112,0,0,pcie,128.0,0.0,108539.45421917815,108549.79421917815,10.34
req_113,0,0,pcie,128.0,0.0,108717.48118259005,108727.82118259005,10.34
req_114,0,0,pcie,128.0,0.0,108873.31131592339,108883.65131592339,10.34
req_115,0,0,pcie,128.0,0.0,109157.03628038206,109167.37628038206,10.34
req_116,0,0,pcie,128.0,0.0,109615.04801655162,109625.38801655162,10.34
req_117,0,0,pcie,128.0,0.0,111523.05130397597,111533.39130397596,10.34
req_118,0,0,pcie,128.0,0.0,113300.77598542822,113311.11598542822,10.34
req_119,0,0,pcie,128.0,0.0,116656.43523101958,116666.77523101958,10.34
req_120,0,0,pcie,128.0,0.0,116812.26536435292,116822.60536435292,10.34
req_121,0,0,pcie,128.0,0.0,118889.31625552954,118899.65625552954,10.34
req_122,0,0,pcie,128.0,0.0,120638.45600077938,120648.79600077937,10.34
req_123,0,0,pcie,128.0,0.0,120993.9335822004,121004.2735822004,10.34
req_124,0,0,pcie,128.0,0.0,124382.87365187446,124393.21365187445,10.34
req_125,0,0,pcie,128.0,0.0,124538.70378520779,124549.04378520779,10.34
req_126,0,0,pcie,128.0,0.0,126657.87785264294,126668.21785264293,10.34
req_127,0,0,pcie,128.0,0.0,126813.70798597627,126824.04798597627,10.34
req_128,0,0,pcie,128.0,0.0,126969.53811930961,126979.87811930961,10.34
req_129,0,0,pcie,128.0,0.0,128669.53458940197,128679.87458940197,10.34
req_130,0,0,pcie,128.0,0.0,130168.42381911674,130178.76381911674,10.34
req_131,0,0,pcie,128.0,0.0,130718.73600390847,130729.07600390847,10.34
req_132,0,0,pcie,128.0,0.0,132419.31260101066,132429.65260101066,10.34
req_133,0,0,pcie,128.0,0.0,133219.93288508672,133230.2728850867,10.34
req_134,0,0,pcie,128.0,0.0,133375.76301842005,133386.10301842005,10.34
req_135,0,0,pcie,128.0,0.0,134481.53924996074,134491.87924996074,10.34
req_136,0,0,pcie,128.0,0.0,135009.08503843923,135019.42503843922,10.34
