config_id,tp_size,num_gpu_blocks,block_size_tokens,max_num_batched_tokens,max_num_seqs,chunked_prefill,arrival_rate_rps,offered_input_tokens_per_s,offered_output_tokens_per_s,sustainable,completion_ratio,worst_completion_ratio,sla_success_ratio,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,e2e_p99_ms,output_throughput_tokens_per_s,goodput_tokens_per_s,completed_requests_per_s,extrapolated_batch_ratio,max_kv_block_utilization,compute_time_share,communication_time_share,estimated_bottleneck
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,0.5,256.0,64.0,True,1.0,1.0,0.9933333333333333,189.7016375266709,680.0150413191022,27.35098412073545,32.20246144356991,4314.030489015277,62.26359314275936,61.8520267043055,0.4864343214278075,0.34682497847535737,0.01382363570654138,0.7820936246740343,0.10280529141017712,compute
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,1.0,512.0,128.0,True,1.0,1.0,0.9433333333333334,193.0845218251079,1740.2223904366601,29.15698503936969,34.009075307086526,5882.5183942194635,123.51258583130311,116.57277542765735,0.9649420768070556,0.09656028086739504,0.013868810986628117,0.7609797772364346,0.12725801379101562,compute
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,2.0,1024.0,256.0,False,1.0,1.0,0.085,7360.501697163567,12938.530332712187,34.02312834645639,34.025978548556516,17067.50112210213,220.2561650723878,18.63542367559789,1.7207512896280297,0.010664846970213792,0.014004336826888326,0.7335478761091254,0.1704098901887956,compute
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,4.0,2048.0,512.0,False,1.0,1.0,0.04,30169.46069657725,58745.806726460956,33.88945196850394,33.89611364829403,62668.61317029065,226.5849785168513,9.063399140674052,1.7701951446629007,0.00412444019908886,0.014320563787495482,0.7314395356308995,0.1730785685977051,compute
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,6.0,3072.0,768.0,False,1.0,1.0,0.03166666666666667,37945.74632399215,74474.62811444332,32.647758005249294,33.66237900262471,78376.18454593433,229.2458644258994,7.260257624215147,1.7909833158273392,0.001764155448258018,0.014456089627755691,0.7319858486744576,0.17206726757729277,compute
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,8.0,4096.0,1024.0,False,1.0,1.0,0.021666666666666667,41924.853919999,82609.80174340503,32.22205196850378,33.613591732283474,86450.88642881178,229.9428084360452,4.981659187339967,1.796428190906603,0.0011432676758441908,0.014456089627755691,0.733247966088404,0.17073295491839904,compute
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,10.0,5120.0,1280.0,False,1.0,1.0,0.013333333333333334,44233.73034612559,87346.34543922938,31.761877690288557,33.522620734908195,91114.25687347174,230.66905037468987,3.0760360355177436,1.8021019560522646,0.0006241548241639777,0.014456089627755691,0.7337395481835758,0.1700281793190005,compute
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,12.0,6144.0,1536.0,False,1.0,1.0,0.011666666666666667,45867.03937348586,90764.89848043863,31.049516535432932,33.5381790026247,94443.8273431027,230.62498147334148,2.6912881059477023,1.8017576677604803,0.0005202805474320591,0.014456089627755691,0.7332330785825865,0.17057299423319325,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,0.25,128.0,32.0,True,1.0,1.0,1.0,184.48624987854177,274.2510108047104,27.79659973753415,31.172626695537293,4129.379265325941,31.260344537961917,31.260344537961917,0.24422144170282747,0.615475850411941,0.010119262739428984,0.7988354245950666,0.0876896329282102,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,0.5,256.0,64.0,True,1.0,1.0,1.0,189.6596750983566,315.41690220654317,27.364857742782714,33.27553286351725,4422.142700049957,62.26359314275936,62.26359314275936,0.4864343214278075,0.347534955616924,0.01865739067582219,0.7821003658927185,0.10283954907626652,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1.0,512.0,128.0,True,1.0,1.0,1.0,192.5283339641801,369.6096663332364,29.156203805774002,38.54472497375337,5114.252802683255,123.51258583130311,123.51258583130311,0.9649420768070556,0.10328544170366427,0.02715034333212866,0.7612106472035048,0.12735497232795454,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,2.0,1024.0,256.0,False,1.0,1.0,0.8566666666666668,201.5024267460723,2519.6566370052187,38.44412454068269,47.491271469816716,8057.369836879564,242.77416049711738,208.13103448344495,1.8966731288837295,0.00814086485688672,0.028099024213950125,0.7282683227198418,0.18265026702204423,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,4.0,2048.0,512.0,False,1.0,1.0,0.08166666666666667,13324.906496087855,25567.96002125775,47.379402493438384,47.4868401574804,30293.067371547364,320.1902411392255,26.131042439123032,2.5014862589001994,0.007858159271517914,0.028189374774123598,0.7044555533025672,0.22465693047356036,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,6.0,3072.0,768.0,False,1.0,1.0,0.04833333333333334,21224.039981328115,41331.22018155254,45.59316272965867,46.98459842519693,45298.32841260144,325.7354943434278,15.734747845974896,2.5448085495580295,0.0033808466028555275,0.028912179255511383,0.7051473785833346,0.2236695963206241,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,8.0,4096.0,1024.0,False,1.0,1.0,0.028333333333333335,25285.097361761746,49416.87230573875,44.712445669291405,46.81956036745419,53279.660695478844,327.52995312704456,9.276026286657366,2.5588277588050357,0.002194057506094339,0.028912179255511383,0.705695226016139,0.22304141145751208,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,10.0,5120.0,1280.0,False,1.0,1.0,0.018333333333333333,27665.406975058006,54278.604390229535,43.45992703412035,46.72292782152243,58049.55630680523,328.5540084694926,6.023485080841681,2.566828191167911,0.0011988014381496658,0.028912179255511383,0.7058312429288086,0.22281090065811227,compute
tp4_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,12.0,6144.0,1536.0,False,1.0,1.0,0.011666666666666667,29225.222406819328,57488.721411105485,43.03145433070842,46.60443228346469,61170.57077643624,329.34741246985806,3.8425758978835085,2.573026659920766,0.0009995602797905647,0.028912179255511383,0.7049610808129944,0.2235373039424032,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,0.25,128.0,32.0,True,1.0,1.0,1.0,184.48624987854177,274.2510108047104,27.79659973753415,31.172626695537293,4129.379265325941,31.260344537961917,31.260344537961917,0.24422144170282747,0.615475850411941,0.010119262739428984,0.7988354245950666,0.0876896329282102,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,0.5,256.0,64.0,True,1.0,1.0,1.0,189.6596750983566,315.41690220654317,27.364857742782714,33.27553286351725,4422.142700049957,62.26359314275936,62.26359314275936,0.4864343214278075,0.347534955616924,0.01865739067582219,0.7821003658927185,0.10283954907626652,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,1.0,512.0,128.0,True,1.0,1.0,1.0,192.5283339641801,369.6096663332364,29.156203805774002,38.54472497375337,5114.252802683255,123.51258583130311,123.51258583130311,0.9649420768070556,0.10328544170366427,0.02715034333212866,0.7612106472035048,0.12735497232795454,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,2.0,1024.0,256.0,False,1.0,1.0,0.875,199.027344390555,660.5495298363295,38.22330879265102,57.648831086614244,7619.501999218118,242.78617586825018,212.5321795122213,1.8967669989707046,0.008382595981306225,0.053713408023129745,0.7286155080484734,0.1825402632309607,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,4.0,2048.0,512.0,False,1.0,1.0,0.008333333333333333,4705.784496341108,9007.640469918611,72.83268451443581,73.89978063779542,17390.109210289607,406.83507037824165,3.3985301173509366,3.178398987330013,0.01435652403768129,0.05583664618720636,0.6873800074417753,0.26323038701203055,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,6.0,3072.0,768.0,False,1.0,1.0,0.0,12414.386753137529,24055.35642288582,70.94055065616799,72.92134514435689,29685.06605007938,415.9924231875641,0.0,3.2499408061528445,0.006240125921581389,0.05750813155041561,0.6860477445982539,0.26464387348715906,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,8.0,4096.0,1024.0,False,1.0,1.0,0.0,16610.0145775878,32099.743428820348,68.35440131233598,72.41382208136481,36379.95713006064,420.26181525002676,0.0,3.283295431640834,0.004059730420804154,0.057824358511022765,0.6865903863534736,0.2639960751529649,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,10.0,5120.0,1280.0,False,1.0,1.0,0.0,18964.579075058035,36862.67766456295,67.14210866141731,71.97213782677166,40661.724640138615,422.93554132407354,0.0,3.3041839165943245,0.0022214010049303673,0.057824358511022765,0.6873521357287009,0.26308510278659836,compute
tp4_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,12.0,6144.0,1536.0,False,1.0,1.0,0.0,20583.114706819364,40156.50050943891,65.70045433070862,71.89557408136488,43860.25257643629,423.7057749736695,0.0,3.310201366981793,0.0018530877930210523,0.057824358511022765,0.6870960170312505,0.26328777755285904,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,0.25,128.0,32.0,True,1.0,1.0,1.0,184.48624987854177,274.2510108047104,27.79659973753415,31.172626695537293,4129.379265325941,31.260344537961917,31.260344537961917,0.24422144170282747,0.615475850411941,0.010119262739428984,0.7988354245950666,0.0876896329282102,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,0.5,256.0,64.0,True,1.0,1.0,0.9933333333333333,189.7016375266709,680.0150413191022,27.35098412073545,32.20246144356991,4314.030489015277,62.26359314275936,61.8520267043055,0.4864343214278075,0.34682497847535737,0.01382363570654138,0.7820936246740343,0.10280529141017712,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,1.0,512.0,128.0,True,1.0,1.0,0.9433333333333334,193.0845218251079,1740.2223904366601,29.15698503936969,34.009075307086526,5882.5183942194635,123.51258583130311,116.57277542765735,0.9649420768070556,0.09656028086739504,0.013868810986628117,0.7609797772364346,0.12725801379101562,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,2.0,1024.0,256.0,False,1.0,1.0,0.085,7360.501697163567,12938.530332712187,34.02312834645639,34.025978548556516,17067.50112210213,220.2561650723878,18.63542367559789,1.7207512896280297,0.010664846970213792,0.014004336826888326,0.7335478761091254,0.1704098901887956,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,4.0,2048.0,512.0,False,1.0,1.0,0.04,30169.46069657725,58745.806726460956,33.88945196850394,33.89611364829403,62668.61317029065,226.5849785168513,9.063399140674052,1.7701951446629007,0.00412444019908886,0.014320563787495482,0.7314395356308995,0.1730785685977051,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,6.0,3072.0,768.0,False,1.0,1.0,0.03166666666666667,37945.74632399215,74474.62811444332,32.647758005249294,33.66237900262471,78376.18454593433,229.2458644258994,7.260257624215147,1.7909833158273392,0.001764155448258018,0.014456089627755691,0.7319858486744576,0.17206726757729277,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,8.0,4096.0,1024.0,False,1.0,1.0,0.021666666666666667,41924.853919999,82609.80174340503,32.22205196850378,33.613591732283474,86450.88642881178,229.9428084360452,4.981659187339967,1.796428190906603,0.0011432676758441908,0.014456089627755691,0.733247966088404,0.17073295491839904,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,10.0,5120.0,1280.0,False,1.0,1.0,0.013333333333333334,44233.73034612559,87346.34543922938,31.761877690288557,33.522620734908195,91114.25687347174,230.66905037468987,3.0760360355177436,1.8021019560522646,0.0006241548241639777,0.014456089627755691,0.7337395481835758,0.1700281793190005,compute
tp4_kv22136_bt8192_seq8_chunked,4,22136,16,8192,8,True,12.0,6144.0,1536.0,False,1.0,1.0,0.011666666666666667,45867.03937348586,90764.89848043863,31.049516535432932,33.5381790026247,94443.8273431027,230.62498147334148,2.6912881059477023,1.8017576677604803,0.0005202805474320591,0.014456089627755691,0.7332330785825865,0.17057299423319325,compute
tp4_kv22136_bt8192_seq16_chunked,4,22136,16,8192,16,True,0.25,128.0,32.0,True,1.0,1.0,1.0,184.48624987854177,274.2510108047104,27.79659973753415,31.172626695537293,4129.379265325941,31.260344537961917,31.260344537961917,0.24422144170282747,0.615475850411941,0.010119262739428984,0.7988354245950666,0.0876896329282102,compute
tp4_kv22136_bt8192_seq16_chunked,4,22136,16,8192,16,True,0.5,256.0,64.0,True,1.0,1.0,1.0,189.6596750983566,315.41690220654317,27.364857742782714,33.27553286351725,4422.142700049957,62.26359314275936,62.26359314275936,0.4864343214278075,0.347534955616924,0.01865739067582219,0.7821003658927185,0.10283954907626652,compute
tp4_kv22136_bt8192_seq16_chunked,4,22136,16,8192,16,True,1.0,512.0,128.0,True,1.0,1.0,1.0,192.5283339641801,369.6096663332364,29.156203805774002,38.54472497375337,5114.252802683255,123.51258583130311,123.51258583130311,0.9649420768070556,0.10328544170366427,0.02715034333212866,0.7612106472035048,0.12735497232795454,compute
tp4_kv22136_bt8192_seq16_chunked,4,22136,16,8192,16,True,2.0,1024.0,256.0,False,1.0,1.0,0.8566666666666668,201.5024267460723,2519.6566370052187,38.44412454068269,47.491271469816716,8057.369836879564,242.77416049711738,208.13103448344495,1.8966731288837295,0.00814086485688672,0.028099024213950125,0.7282683227198418,0.18265026702204423,compute
